日期,最高气温,最低气温,天气
2023-01-01,4,-7,多云
2023-01-02,3,-8,多云
2023-01-03,3,-8,多云
2023-01-04,5,-8,晴
2023-01-05,4,-6,多云
2023-01-06,9,-7,多云
2023-01-07,7,-6,多云
2023-01-08,12,-5,晴
2023-01-09,8,-6,多云
2023-01-10,7,-6,晴
2023-02-01,4,-8,多云
2023-02-02,2,-7,多云
2023-02-03,5,-5,多云
2023-02-04,9,-6,晴
2023-02-05,6,-4,多云
2023-02-06,8,-5,多云
2023-02-07,6,-5,晴
2023-02-08,7,-2,多云
2023-02-09,1,-5,多云
2023-02-10,3,-3,多云
2023-03-01,10,-3,晴
2023-03-02,14,0,晴
2023-03-03,20,0,晴
2023-03-04,16,0,多云~晴
2023-03-05,11,2,多云~晴
2023-03-06,23,3,多云~晴
2023-03-07,21,7,多云
2023-03-08,19,2,多云~晴
2023-03-09,19,6,多云~晴
2023-03-10,27,8,多云
2023-04-01,22,12,多云
2023-04-02,20,13,多云~阴
2023-04-03,18,9,多云~小雨
2023-04-04,12,6,小雨
2023-04-05,17,9,多云~小雨
2023-04-06,18,5,多云~晴
2023-04-07,16,4,晴
2023-04-08,22,8,晴~多云
2023-04-09,22,10,多云
2023-04-10,28,11,多云
2023-05-01,25,16,多云~小雨
2023-05-02,28,16,多云~晴
2023-05-03,27,15,多云
2023-05-04,20,15,多云~小雨
2023-05-05,19,14,多云
2023-05-06,24,12,多云~晴
2023-05-07,26,11,晴
2023-05-08,28,13,多云
2023-05-09,27,14,多云
2023-05-10,27,14,多云
2023-06-01,31,16,多云~晴
2023-06-02,31,17,多云
2023-06-03,33,19,多云
2023-06-04,33,20,多云~晴
2023-06-05,35,21,多云
2023-06-06,34,22,晴
2023-06-07,37,21,阴~晴
2023-06-08,34,19,多云
2023-06-09,34,20,多云
2023-06-10,30,17,多云~晴
2023-07-01,39,25,多云
2023-07-02,38,24,多云
2023-07-03,33,23,多云~中雨
2023-07-04,31,21,小雨~晴
2023-07-05,40,23,晴
2023-07-06,41,24,晴
2023-07-07,37,23,多云~晴
2023-07-08,37,24,晴
2023-07-09,38,25,晴
2023-07-10,39,26,多云~小雨
2023-08-01,28,25,中雨~小雨
2023-08-02,31,26,多云~晴
2023-08-03,32,26,多云~小雨
2023-08-04,34,26,多云
2023-08-05,36,25,阴~小雨
2023-08-06,28,23,阴~多云
2023-08-07,27,23,阴~小雨
2023-08-08,31,24,多云
2023-08-09,33,24,多云~小雨
2023-08-10,32,23,多云~阴
2023-09-01,30,20,阴~多云
2023-09-02,28,20,多云~雷阵雨
2023-09-03,30,21,阴~多云
2023-09-04,30,22,阴~晴
2023-09-05,32,22,阴~多云
2023-09-06,32,22,阴~晴
2023-09-07,31,23,多云~阴
2023-09-08,28,22,阴~雷阵雨
2023-09-09,23,20,中雨~小雨
2023-09-10,24,20,阴~多云
2023-10-01,26,11,晴
2023-10-02,23,14,阴~多云
2023-10-03,25,15,多云
2023-10-04,24,9,阴~晴
2023-10-05,21,12,阴~多云
2023-10-06,22,11,阴~多云
2023-10-07,22,11,多云~小雨
2023-10-08,22,12,阴~多云
2023-10-09,23,10,阴~晴
2023-10-10,23,10,多云~晴
2023-11-01,22,12,多云~雾
2023-11-02,20,9,多云~晴
2023-11-03,17,6,阴~多云
2023-11-04,16,10,阴~小雨
2023-11-05,11,5,中雨~阴
2023-11-06,8,0,多云~晴
2023-11-07,12,2,多云
2023-11-08,14,2,晴
2023-11-09,8,-2,晴
2023-11-10,5,-4,阴~多云
2023-12-01,3,-6,晴
2023-12-02,10,-5,阴~晴
2023-12-03,9,-4,晴
2023-12-04,10,-3,阴~晴
2023-12-05,8,-1,多云
2023-12-06,11,-2,晴
2023-12-07,9,-2,多云~晴
2023-12-08,12,-2,多云~晴
2023-12-09,8,-3,多云
2023-12-10,0,-4,阴~小雪
